	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_153	0.0	3.0	1.0	6.0	12.0
simulated_154	0.0	3.0	5.0	4.0	15.0
simulated_155	0.0	3.0	1.0	2.0	13.0
simulated_156	0.0	5.0	0.0	1.0	14.0
simulated_157	0.0	5.0	2.0	3.0	14.0
simulated_158	0.0	2.0	1.0	1.0	5.0
simulated_159	0.0	2.0	1.0	8.0	13.0
simulated_160	0.0	1.0	2.0	11.0	9.0
simulated_161	0.0	1.0	1.0	6.0	12.0
simulated_162	0.0	3.0	3.0	3.0	8.0
simulated_163	0.0	5.0	0.0	3.0	11.0
simulated_164	0.0	2.0	0.0	3.0	14.0
simulated_165	0.0	1.0	5.0	6.0	17.0
simulated_166	0.0	2.0	0.0	5.0	6.0
simulated_167	0.0	2.0	0.0	2.0	12.0
simulated_168	0.0	2.0	1.0	3.0	16.0
simulated_169	0.0	1.0	2.0	1.0	10.0
simulated_170	0.0	4.0	1.0	4.0	12.0
simulated_171	0.0	1.0	2.0	11.0	15.0
simulated_172	0.0	2.0	2.0	4.0	8.0
simulated_173	0.0	2.0	1.0	5.0	13.0
simulated_174	0.0	4.0	0.0	7.0	9.0
simulated_175	0.0	2.0	0.0	2.0	16.0
simulated_176	0.0	1.0	0.0	3.0	13.0
simulated_177	0.0	3.0	1.0	1.0	13.0
simulated_178	0.0	6.0	0.0	3.0	8.0
simulated_179	0.0	5.0	3.0	8.0	9.0
simulated_180	0.0	4.0	1.0	7.0	5.0
simulated_181	0.0	5.0	1.0	2.0	15.0
simulated_182	0.0	5.0	1.0	5.0	16.0
simulated_183	0.0	2.0	0.0	6.0	16.0
simulated_184	0.0	6.0	3.0	1.0	7.0
simulated_185	0.0	2.0	0.0	3.0	10.0
simulated_186	0.0	5.0	0.0	3.0	10.0
simulated_187	0.0	1.0	3.0	2.0	13.0
simulated_188	0.0	1.0	0.0	8.0	14.0
simulated_189	0.0	5.0	3.0	6.0	18.0
simulated_190	0.0	5.0	1.0	5.0	14.0
simulated_191	0.0	6.0	0.0	5.0	9.0
simulated_192	0.0	1.0	3.0	4.0	11.0
simulated_193	0.0	1.0	1.0	3.0	15.0
simulated_194	0.0	3.0	1.0	3.0	10.0
simulated_195	0.0	2.0	1.0	4.0	10.0
simulated_196	0.0	1.0	0.0	3.0	17.0
simulated_197	0.0	2.0	1.0	5.0	11.0
simulated_198	0.0	5.0	4.0	4.0	13.0
simulated_199	0.0	3.0	1.0	5.0	12.0
simulated_200	0.0	1.0	1.0	6.0	11.0
simulated_201	0.0	2.0	5.0	5.0	9.0
simulated_202	0.0	0.0	1.0	4.0	13.0
simulated_203	0.0	6.0	2.0	3.0	15.0
simulated_204	0.0	2.0	2.0	3.0	15.0
simulated_205	0.0	3.0	5.0	4.0	12.0
simulated_206	0.0	3.0	3.0	2.0	9.0
simulated_207	0.0	5.0	0.0	5.0	13.0
simulated_208	0.0	1.0	1.0	7.0	11.0
simulated_209	0.0	3.0	5.0	5.0	11.0
simulated_210	0.0	1.0	1.0	5.0	14.0
simulated_211	0.0	3.0	1.0	1.0	5.0
simulated_212	0.0	4.0	2.0	7.0	15.0
simulated_213	0.0	6.0	4.0	6.0	10.0
simulated_214	0.0	3.0	4.0	5.0	15.0
simulated_215	0.0	3.0	2.0	7.0	14.0
simulated_216	0.0	4.0	1.0	4.0	12.0
simulated_217	0.0	3.0	2.0	4.0	11.0
simulated_218	0.0	3.0	0.0	7.0	13.0
simulated_219	0.0	1.0	0.0	3.0	19.0
simulated_220	0.0	1.0	0.0	3.0	13.0
simulated_221	0.0	3.0	2.0	6.0	12.0
simulated_222	0.0	2.0	1.0	9.0	6.0
simulated_223	0.0	4.0	1.0	2.0	17.0
simulated_224	0.0	2.0	1.0	5.0	10.0
simulated_225	0.0	4.0	0.0	3.0	13.0
simulated_226	0.0	1.0	1.0	5.0	19.0
simulated_227	0.0	3.0	0.0	5.0	13.0
simulated_228	0.0	2.0	0.0	3.0	13.0
simulated_229	0.0	2.0	0.0	3.0	7.0
simulated_230	0.0	6.0	1.0	4.0	15.0
simulated_231	0.0	2.0	0.0	4.0	14.0
simulated_232	0.0	1.0	1.0	2.0	10.0
simulated_233	0.0	7.0	0.0	3.0	15.0
simulated_234	0.0	2.0	1.0	2.0	11.0
simulated_235	0.0	3.0	0.0	7.0	15.0
simulated_236	0.0	5.0	1.0	5.0	14.0
simulated_237	0.0	2.0	1.0	5.0	20.0
simulated_238	0.0	1.0	1.0	5.0	15.0
simulated_239	0.0	3.0	0.0	1.0	12.0
simulated_240	0.0	2.0	1.0	4.0	17.0
simulated_241	0.0	2.0	2.0	4.0	23.0
simulated_242	0.0	1.0	4.0	4.0	14.0
simulated_243	0.0	2.0	2.0	0.0	13.0
simulated_244	0.0	5.0	0.0	4.0	18.0
simulated_245	0.0	4.0	0.0	4.0	17.0
simulated_246	0.0	9.0	2.0	4.0	15.0
simulated_247	0.0	2.0	2.0	6.0	13.0
simulated_248	0.0	3.0	2.0	3.0	10.0
simulated_249	0.0	4.0	1.0	2.0	18.0
simulated_250	0.0	1.0	2.0	2.0	8.0
simulated_251	0.0	3.0	0.0	4.0	7.0
simulated_252	0.0	2.0	4.0	7.0	14.0
simulated_253	0.0	4.0	1.0	1.0	17.0
simulated_254	0.0	3.0	3.0	1.0	11.0
simulated_255	0.0	3.0	3.0	1.0	11.0
simulated_256	0.0	2.0	4.0	2.0	10.0
simulated_257	0.0	4.0	3.0	2.0	10.0
simulated_258	0.0	2.0	1.0	4.0	15.0
simulated_259	0.0	3.0	0.0	2.0	10.0
simulated_260	0.0	3.0	2.0	5.0	9.0
simulated_261	0.0	0.0	3.0	4.0	12.0
simulated_262	0.0	4.0	1.0	1.0	6.0
simulated_263	0.0	1.0	0.0	3.0	11.0
simulated_264	0.0	0.0	1.0	4.0	8.0
simulated_265	0.0	2.0	1.0	2.0	15.0
simulated_266	0.0	2.0	0.0	6.0	10.0
simulated_267	0.0	0.0	1.0	8.0	11.0
simulated_268	0.0	1.0	0.0	3.0	10.0
simulated_269	0.0	1.0	5.0	2.0	9.0
simulated_270	0.0	1.0	3.0	5.0	11.0
simulated_271	0.0	0.0	0.0	2.0	11.0
simulated_272	0.0	6.0	0.0	0.0	9.0
simulated_273	0.0	2.0	2.0	2.0	9.0
simulated_274	0.0	2.0	1.0	1.0	9.0
simulated_275	0.0	1.0	0.0	5.0	14.0
simulated_276	0.0	2.0	1.0	1.0	16.0
simulated_277	0.0	3.0	0.0	4.0	13.0
simulated_278	0.0	1.0	1.0	4.0	17.0
simulated_279	0.0	2.0	0.0	3.0	13.0
simulated_280	0.0	6.0	2.0	5.0	15.0
simulated_281	0.0	2.0	0.0	2.0	16.0
simulated_282	0.0	3.0	1.0	4.0	15.0
simulated_283	0.0	5.0	1.0	3.0	6.0
simulated_284	0.0	1.0	2.0	2.0	11.0
simulated_285	0.0	2.0	2.0	3.0	15.0
simulated_286	0.0	1.0	3.0	3.0	11.0
simulated_287	0.0	2.0	0.0	4.0	14.0
simulated_288	0.0	1.0	6.0	4.0	10.0
simulated_289	0.0	1.0	1.0	3.0	9.0
simulated_290	0.0	2.0	0.0	6.0	12.0
simulated_291	0.0	5.0	1.0	9.0	20.0
simulated_292	0.0	5.0	3.0	5.0	13.0
simulated_293	0.0	4.0	1.0	4.0	15.0
simulated_294	0.0	3.0	1.0	4.0	9.0
simulated_295	0.0	2.0	0.0	3.0	14.0
simulated_296	0.0	3.0	3.0	4.0	21.0
simulated_297	0.0	2.0	2.0	4.0	12.0
simulated_298	0.0	1.0	2.0	3.0	14.0
simulated_299	0.0	1.0	0.0	3.0	13.0
simulated_300	0.0	0.0	2.0	5.0	14.0
simulated_301	0.0	5.0	1.0	4.0	18.0
simulated_302	0.0	3.0	2.0	7.0	15.0
simulated_303	0.0	3.0	3.0	4.0	8.0
simulated_304	0.0	4.0	1.0	6.0	9.0
simulated_305	0.0	4.0	1.0	4.0	16.0
