	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut
ChCC-v11000197m.g	0.830234584401	0.004350822627119413	0.004325305018781634	0.020263055085727483	0.025517088383668923
ChCC-v11000205m.g	0.5102637111439893	0.004101256941956282	0.0040772030382910055	0.0191007546061706	0.02405341353603333
ChCC-v11000212m.g	1.1010310486071175	0.006144862874509002	0.006108823206253233	0.02861842589130219	0.03603893390114719
ChCC-v11000217m.g	0.5595602999987683	0.004239709125043154	0.004214843198253906	0.019745566967663247	0.024865420113989067
ChCC-v11000220m.g	0.2669352619292148	0.0027921806182773148	0.0027758044573689324	0.013004002811972368	0.016375827223028296
ChCC-v11000221m.g	0.1616349970320181	0.00231252014021125	0.002298957191714265	0.010770083500043522	0.013562672134454116
ChCC-v11000224m.g	0.5259131299246617	0.002986075461710672	0.002968562106046841	0.013907027878735401	0.01751299880667025
ChCC-v11000227m.g	0.2247371264656081	0.0008433443269569868	0.0008383981059607462	0.003927701498757552	0.004946120210622087
ChCC-v11000231m.g	-0.005960599106158917	0.00037229688130138196	0.0003701133572148772	0.0017338956010369666	0.0021834795943914092
ChCC-v11000236m.g	0.034175953730550004	0.00033063865529504334	0.0003286994570260634	0.0015398810431741469	0.001939158755319561
ChCC-v11000238m.g	1.344556963031516	0.006290131131956073	0.006253239464247524	0.02929498270713509	0.03689091599334125
ChCC-v11000240m.g	0.057605351174640176	0.000327959321238144	0.0003260358372841177	0.0015274025998449224	0.0019234447605653
ChCC-v11000241m.g	0.21628109447837782	0.0007538178337832293	0.0007493966863614487	0.0035107504027729946	0.004421057335211974
ChCC-v11000243m.g	-0.8596816369403112	0.003732886676698155	0.0037109932674859385	0.017385146405932052	0.021892963105828004
ChCC-v11000244m.g	-0.29355380058802794	0.0013390478623138203	0.001331194336251167	0.006236338026598636	0.007853366036952646
ChCC-v11000246m.g	-0.10325379083489009	0.0002625090428716775	0.0002609694253061691	0.001222581486787052	0.0015395861938191312
ChCC-v11000248m.g	0.3326920756308716	0.0020467020885076063	0.0020346981649385066	0.009532090990103433	0.012003678973708473
ChCC-v11000250m.g	-0.5127290513505347	0.0008872159301068756	0.0008820124018190552	0.004132024402151558	0.0052034222592349366
ChCC-v11000264m.g	0.9287761205637559	0.003177643936945113	0.003159007030693302	0.014799218367533685	0.01863652650086135
ChCC-v11000265m.g	0.005797491756426154	0.0002598865702619438	0.0002583623335185619	0.0012103678638687974	0.001524205685096662
ChCC-v11000266m.g	0.863950980263457	0.0023243425746130517	0.002310710287446919	0.010825144039178789	0.013632009390737679
ChCC-v11000268m.g	-0.14420758966821595	0.00035208134851272694	0.00035001638868228376	0.0016397459448476833	0.0020649177542291053
ChCC-v11000270m.g	-0.04680731833142115	0.0009506671561950361	0.0009450914859757616	0.004427535343339384	0.005575556607818048
ChCC-v11000271m.g	0.5118601056030992	0.0031180940426532603	0.0030998063969917625	0.014521877071001913	0.018287273027182187
ChCC-v11000274m.g	0.2574755205531371	0.0009721905144889772	0.0009664886096069439	0.004527775925895315	0.005701788698383297
