## source: http://pathways.mcdb.ucla.edu/algal/id_conversion.html
JGI_v5.3.1_ID	JGI_v5.5_ID
Cre08.g372050	Cre08.g372050.t1.2
Cre08.g372350	Cre08.g372350.t1.1
Cre08.g385350	Cre08.g385350.t1.1
g8345	Cre08.g358528.t1.1
g8745	Cre08.g373341.t1.1
Cre08.g384650	Cre08.g384650.t1.2
Cre08.g378700	Cre08.g378700.t1.2
Cre08.g361250	Cre08.g361250.t1.1
g8787	Cre08.g373374.t2.1, Cre08.g373374.t1.1
g8787	Cre08.g373374.t2.1, Cre08.g373374.t1.1
g8500	Cre08.g362950.t1.1
g8858	Cre08.g376000.t1.1
g8592	Cre08.g366676.t1.1
Cre08.g384950	Cre08.g384950.t1.2
Cre08.g363300	Cre08.g363300.t1.2
Cre08.g366100	Cre08.g366101.t1.1
Cre08.g373400	Cre08.g373400.t1.2
Cre08.g365900	Cre08.g365900.t1.2
Cre08.g380700	Cre08.g380700.t1.2
Cre08.g362250	Cre08.g362250.t1.1
g8496	Cre08.g362776.t1.1
g8810	Cre08.g373840.t1.1
Cre08.g363700	Cre08.g363700.t1.1
Cre08.g382400	Cre08.g382400.t1.1
Cre08.g384700	Cre08.g384700.t1.1
Cre08.g381850	Cre08.g381850.t1.2
Cre08.g365150	Cre08.g365150.t2.1, Cre08.g365150.t1.2
g8549	N/A
g8807	Cre08.g373726.t1.1
g8935	N/A
Cre08.g379550	Cre08.g379550.t2.1, Cre08.g379550.t1.1
Cre08.g360350	Cre08.g360350.t1.1, Cre08.g360350.t2.1
g8438	N/A
Cre08.g365200	Cre08.g365200.t1.2
Cre08.g361350	Cre08.g361350.t1.2
Cre08.g368850	Cre08.g368850.t1.2
Cre08.g370350	Cre08.g370350.t1.2
g8453	N/A
Cre08.g361000	Cre08.g361000.t2.1, Cre08.g361000.t1.1
g8521	Cre08.g363837.t1.1
Cre08.g370400	Cre08.g370401.t1.1
Cre08.g360500	Cre08.g360500.t1.1
g8534	Cre08.g364501.t1.1
g8809	Cre08.g373802.t1.1
Cre08.g367400	Cre08.g367400.t1.1
g8401	Cre08.g358600.t1.1
g9082	N/A
Cre08.g386000	Cre08.g386000.t2.1, Cre08.g386000.t1.1
Cre08.g379900	Cre08.g379900.t1.1
g8874	Cre08.g376740.t2.1, Cre08.g376740.t1.1
g8874	Cre08.g376740.t2.1, Cre08.g376740.t1.1
g9003	Cre08.g382560.t1.1
g8766	Cre08.g373359.t1.1
Cre08.g384150	Cre08.g384150.t1.1
Cre08.g362000	Cre08.g362000.t1.2
Cre08.g377950	Cre08.g377950.t1.2
Cre08.g383500	Cre08.g383500.t1.1
Cre08.g380400	Cre08.g380400.t1.2
g8736	Cre08.g373050.t1.1
Cre08.g361200	Cre08.g361200.t1.2, Cre08.g361200.t2.1
g8458	N/A
g8978	Cre08.g381516.t1.1
g8391	Cre08.g358576.t1.1
Cre08.g381900	Cre08.g381900.t1.2
g8926	Cre08.g379175.t1.1
Cre08.g359900	Cre08.g359900.t1.1
g8359	Cre08.g358543.t1.1
g8556	Cre08.g365065.t1.1, Cre08.g365065.t2.1
g8556	Cre08.g365065.t1.1, Cre08.g365065.t2.1
Cre08.g379850	Cre08.g379850.t1.2
g8982	Cre08.g381702.t1.1
Cre08.g359300	Cre08.g359300.t1.2
Cre08.g379350	Cre08.g379350.t1.1
g9005	Cre08.g382590.t2.1, Cre08.g382590.t1.1
g9005	Cre08.g382590.t2.1, Cre08.g382590.t1.1
Cre08.g367650	Cre08.g367650.t1.2
g8352	Cre08.g358536.t1.1
Cre08.g359950	Cre08.g359950.t1.2
g8777	Cre08.g373367.t1.1
Cre08.g377400	Cre08.g377400.t1.1
g8558	Cre08.g365141.t1.1, Cre08.g365141.t2.1
g8558	Cre08.g365141.t1.1, Cre08.g365141.t2.1
g8927	Cre08.g379187.t1.1
Cre08.g368100	Cre08.g368100.t1.1
g8512	Cre08.g363383.t1.1
g8852	Cre08.g375751.t1.1
g8747	Cre08.g373343.t1.1
Cre08.g360900	Cre08.g360900.t1.2
Cre08.g363750	Cre08.g363750.t1.1
Cre08.g376350	Cre08.g376350.t1.2, Cre08.g376350.t2.1
g8865	N/A
Cre08.g375850	Cre08.g375850.t1.2
g8393	Cre08.g358578.t1.1
Cre08.g381100	Cre08.g381075.t1.1
g8353	Cre08.g358537.t1.1
g8663	Cre08.g369700.t1.2
g8821	N/A
Cre08.g374400	Cre08.g374400.t1.1, Cre08.g374400.t2.1
Cre08.g384628	Cre08.g384628.t1.1
g8478	Cre08.g362036.t1.2
g8826	Cre08.g374650.t1.1
Cre08.g369150	Cre08.g369150.t1.1
Cre08.g373500	Cre08.g373500.t1.1
Cre08.g363950	Cre08.g363950.t1.1
Cre08.g383650	Cre08.g383650.t1.2
Cre08.g361550	Cre08.g361551.t1.1
Cre08.g362700	Cre08.g362700.t1.2
Cre08.g381300	Cre08.g381300.t1.2
g8387	Cre08.g358572.t1.1
g9072	N/A
Cre08.g385600	Cre08.g385600.t2.1, Cre08.g385600.t1.1
Cre08.g360400	Cre08.g360400.t1.1
g8706	Cre08.g371700.t1.1
Cre08.g365500	Cre08.g365500.t1.1
Cre08.g358850	Cre08.g358850.t1.2
Cre08.g373800	Cre08.g373878.t1.1
g8992	N/A
Cre08.g382200	Cre08.g382200.t2.1, Cre08.g382200.t1.1
g8341	Cre08.g358524.t1.1
Cre08.g362750	Cre08.g362750.t1.2
Cre08.g363100	Cre08.g363100.t1.1
g8432	N/A
Cre08.g360050	Cre08.g360050.t1.1, Cre08.g360050.t2.1
Cre08.g359650	Cre08.g359650.t1.2
g8373	Cre08.g358557.t1.1
Cre08.g360550	Cre08.g360550.t1.1
Cre08.g378300	Cre08.g378300.t1.1
Cre08.g372850	Cre08.g372850.t1.2
g8806	Cre08.g373688.t1.1, Cre08.g373688.t2.1
g8806	Cre08.g373688.t1.1, Cre08.g373688.t2.1
g8376	Cre08.g358560.t1.1
Cre08.g372300	Cre08.g372300.t1.2
Cre08.g366800	Cre08.g366800.t1.1
Cre08.g358300	Cre08.g358300.t1.2
Cre08.g373241	Cre08.g373225.t1.1
g9044	Cre08.g384285.t1.1, Cre08.g384285.t2.1
g9044	Cre08.g384285.t1.1, Cre08.g384285.t2.1
g8548	N/A
Cre08.g365100	Cre08.g365100.t2.1, Cre08.g365100.t1.1
Cre08.g376800	Cre08.g376800.t1.1
g8480	Cre08.g362076.t1.1
Cre08.g367876	Cre08.g367876.t1.2
Cre08.g366600	Cre08.g366600.t1.1
g8670	Cre08.g369976.t1.1
Cre08.g372200	Cre08.g372200.t1.2
Cre08.g363450	Cre08.g363450.t1.2
g8673	Cre08.g370083.t1.1
g8798	Cre08.g373421.t1.1, Cre08.g373421.t2.1
g8798	Cre08.g373421.t1.1, Cre08.g373421.t2.1
g8400	Cre08.g358616.t1.1
Cre08.g364550	Cre08.g364550.t1.1
g8775	Cre08.g373365.t1.1
g8522	Cre08.g363874.t2.1, Cre08.g363874.t1.1
g8522	Cre08.g363874.t2.1, Cre08.g363874.t1.1
Cre08.g370950	Cre08.g370950.t1.2
Cre08.g367200	Cre08.g367200.t1.1
g8713	Cre08.g371957.t1.1
g8710	Cre08.g371840.t1.1
g8961	N/A
Cre08.g380800	Cre08.g380800.t1.1, Cre08.g380800.t2.1
g8760	Cre08.g373353.t1.1
Cre08.g382689	Cre08.g382689.t1.2
g8348	Cre08.g358531.t1.1
Cre08.g372900	Cre08.g372900.t1.1
Cre08.g369900	Cre08.g369900.t1.2
Cre08.g368050	Cre08.g368050.t1.2
Cre08.g360100	Cre08.g360100.t1.2
Cre08.g361600	Cre08.g361600.t1.1
g9018	N/A
Cre08.g383000	Cre08.g383000.t2.1, Cre08.g383000.t1.1
Cre08.g382500	Cre08.g382500.t1.2
Cre08.g365000	Cre08.g365000.t1.1
g8750	Cre08.g373345.t1.1
Cre08.g374700	Cre08.g374700.t1.1
Cre08.g378750	Cre08.g378750.t1.1
Cre08.g369550	Cre08.g369550.t1.2
Cre08.g359350	Cre08.g359350.t1.2
Cre08.g377550	Cre08.g377550.t1.2
g8553	Cre08.g364950.t1.1, Cre08.g364950.t2.1
g8553	Cre08.g364950.t1.1, Cre08.g364950.t2.1
Cre08.g380650	Cre08.g380650.t1.1
g8838	Cre08.g375084.t1.1, Cre08.g375084.t2.1
g8838	Cre08.g375084.t1.1, Cre08.g375084.t2.1
Cre08.g379450	Cre08.g379450.t1.1
Cre08.g376300	Cre08.g376300.t1.2
g8949	Cre08.g380201.t1.1
g8399	Cre08.g358583.t1.1
g8778	Cre08.g373368.t1.1
g8340	Cre08.g358523.t1.1
g8392	Cre08.g358577.t1.1
g8431	Cre08.g360001.t1.1
Cre08.g371650	Cre08.g371650.t1.2
Cre08.g385700	Cre08.g385700.t1.2
g8746	Cre08.g373342.t1.1
Cre08.g372800	Cre08.g372800.t1.1
