	HEG
930	Chreiv61e012007m.g
931	ChCC-v11011506m.g
932	ChCC-v11037143m.g
933	ChCC-v11012455m.g
934	ChCC-v11005175m.g
935	ChCC-v11015321m.g
936	ChCC-v11002479m.g
937	ChCC-v11025418m.g
938	ChCC-v11029407m.g
939	ChCC-v11015720m.g
940	ChCC-v11015303m.g
941	ChCC-v11036178m.g
942	ChCC-v11035756m.g
943	ChCC-v11002688m.g
944	ChCC-v11018170m.g
945	ChCC-v11028440m.g
946	ChCC-v11012641m.g
947	ChCC-v11032724m.g
948	ChCC-v11024663m.g
949	ChCC-v11004198m.g
950	ChCC-v11012902m.g
951	ChCC-v11006497m.g
952	ChCC-v11023768m.g
953	ChCC-v11008867m.g
954	ChCC-v11023497m.g
955	ChCC-v11034599m.g
956	ChCC-v11023297m.g
957	ChCC-v11036883m.g
958	ChCC-v11018204m.g
959	ChCC-v11025542m.g
960	ChCC-v11015753m.g
961	ChCC-v11033833m.g
962	ChCC-v11008978m.g
963	ChCC-v11004698m.g
964	ChCC-v11030492m.g
965	ChCC-v11018025m.g
966	ChCC-v11027311m.g
967	ChCC-v11005536m.g
968	ChCC-v11003629m.g
969	ChCC-v11029057m.g
970	ChCC-v11026077m.g
971	ChCC-v11012164m.g
972	ChCC-v11002959m.g
973	ChCC-v11027140m.g
974	ChCC-v11033596m.g
975	ChCC-v11016884m.g
976	ChCC-v11015676m.g
977	ChCC-v11033167m.g
978	ChCC-v11025687m.g
979	ChCC-v11024832m.g
980	ChCC-v11033782m.g
981	ChCC-v11035418m.g
982	ChCC-v11025477m.g
983	ChCC-v11007088m.g
984	ChCC-v11007794m.g
985	ChCC-v11014842m.g
986	ChCC-v11016860m.g
987	ChCC-v11030301m.g
988	ChCC-v11023136m.g
989	ChCC-v11019348m.g
990	ChCC-v11033443m.g
991	ChCC-v11033330m.g
992	ChCC-v11011321m.g
993	ChCC-v11021742m.g
994	ChCC-v11006048m.g
995	ChCC-v11008438m.g
996	ChCC-v11018371m.g
997	ChCC-v11006666m.g
998	ChCC-v11025800m.g
999	ChCC-v11012064m.g
1000	ChCC-v11000244m.g
1001	ChCC-v11012293m.g
1002	ChCC-v11024931m.g
1003	ChCC-v11000067m.g
1004	ChCC-v11012492m.g
1005	ChCC-v11036327m.g
1006	ChCC-v11001001m.g
1007	ChCC-v11007508m.g
1008	ChCC-v11032836m.g
1009	ChCC-v11030795m.g
1010	ChCC-v11004391m.g
1011	ChCC-v11027065m.g
1012	ChCC-v11001867m.g
1013	ChCC-v11013505m.g
1014	ChCC-v11025151m.g
1015	ChCC-v11019898m.g
1016	ChCC-v11002656m.g
1017	ChCC-v11016385m.g
1018	ChCC-v11018218m.g
1019	ChCC-v11018269m.g
1020	ChCC-v11008411m.g
1021	ChCC-v11027529m.g
1022	ChCC-v11011648m.g
1023	ChCC-v11012238m.g
1024	ChCC-v11003485m.g
1025	ChCC-v11034829m.g
1026	ChCC-v11012955m.g
1027	ChCC-v11002310m.g
1028	ChCC-v11027688m.g
1029	ChCC-v11025409m.g
1030	ChCC-v11006044m.g
1031	ChCC-v11029043m.g
1032	ChCC-v11020675m.g
1033	ChCC-v11000695m.g
1034	ChCC-v11011234m.g
1035	ChCC-v11009094m.g
1036	ChCC-v11017780m.g
1037	ChCC-v11008253m.g
1038	ChCC-v11025199m.g
1039	ChCC-v11026301m.g
1040	ChCC-v11006891m.g
1041	ChCC-v11005474m.g
1042	ChCC-v11033129m.g
1043	ChCC-v11036730m.g
1044	ChCC-v11036161m.g
1045	ChCC-v11000650m.g
1046	ChCC-v11034712m.g
1047	ChCC-v11006163m.g
1048	ChCC-v11031265m.g
1049	ChCC-v11033113m.g
1050	ChCC-v11019525m.g
1051	ChCC-v11025173m.g
1052	ChCC-v11025899m.g
1053	ChCC-v11001298m.g
1054	ChCC-v11023994m.g
1055	ChCC-v11011405m.g
1056	ChCC-v11024561m.g
1057	ChCC-v11033649m.g
1058	ChCC-v11025541m.g
1059	ChCC-v11021628m.g
1060	ChCC-v11033425m.g
1061	ChCC-v11013998m.g
1062	ex.Cre13.g566600.t1.1.g
1063	ChCC-v11022290m.g
1064	ChCC-v11017671m.g
1065	ChCC-v11004630m.g
1066	ChCC-v11028002m.g
1067	ChCC-v11019853m.g
1068	ChCC-v11015685m.g
1069	ChCC-v11025939m.g
1070	ChCC-v11016188m.g
1071	ChCC-v11035310m.g
1072	ChCC-v11022770m.g
1073	ChCC-v11004047m.g
1074	ChCC-v11028967m.g
1075	ChCC-v11010997m.g
1076	ChCC-v11026300m.g
1077	ChCC-v11031097m.g
1078	ChCC-v11024643m.g
1079	ChCC-v11021549m.g
1080	ChCC-v11005218m.g
1081	ChCC-v11000240m.g
1082	ChCC-v11003643m.g
1083	ChCC-v11032577m.g
1084	ChCC-v11017096m.g
1085	ChCC-v11030159m.g
1086	ChCC-v11028366m.g
1087	ChCC-v11007524m.g
1088	ChCC-v11033203m.g
1089	ChCC-v11007807m.g
1090	ChCC-v11008400m.g
1091	ChCC-v11002989m.g
1092	ChCC-v11024788m.g
1093	ChCC-v11013911m.g
1094	ChCC-v11002948m.g
1095	ChCC-v11005231m.g
1096	ChCC-v11024525m.g
1097	ChCC-v11036294m.g
1098	ChCC-v11004129m.g
1099	ChCC-v11012519m.g
1100	ChCC-v11027493m.g
1101	ChCC-v11036602m.g
1102	ChCC-v11017271m.g
1103	ChCC-v11021892m.g
1104	ChCC-v11004827m.g
1105	ChCC-v11021358m.g
1106	ChCC-v11010078m.g
1107	ChCC-v11033442m.g
1108	ChCC-v11018126m.g
1109	ChCC-v11019736m.g
1110	ChCC-v11036153m.g
1111	ChCC-v11021167m.g
1112	ChCC-v11020730m.g
1113	ChCC-v11015174m.g
1114	ChCC-v11008742m.g
1115	ChCC-v11007328m.g
1116	ChCC-v11015471m.g
1117	ChCC-v11021689m.g
1118	ChCC-v11020595m.g
1119	ChCC-v11015520m.g
1120	ChCC-v11027870m.g
1121	ChCC-v11023978m.g
1122	ex.Cre01.g007774.t1.1.g
1123	ChCC-v11005617m.g
1124	ChCC-v11012271m.g
1125	ChCC-v11024425m.g
1126	ChCC-v11000744m.g
1127	ChCC-v11016493m.g
1128	ChCC-v11014914m.g
1129	ChCC-v11022619m.g
1130	ChCC-v11029609m.g
1131	ChCC-v11035742m.g
1132	ChCC-v11035612m.g
1133	ChCC-v11019769m.g
1134	ChCC-v11002927m.g
1135	ChCC-v11031875m.g
1136	ChCC-v11026556m.g
1137	ChCC-v11017340m.g
