CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G006850V5,CHLRE_02G100000V5,CHLRE_14G623403V5,CHLRE_01G007651V5,CHLRE_03G176930V5,CHLRE_01G009450V5,CHLRE_17G698100V5,CHLRE_02G095138V5,CHLRE_01G003376V5,CHLRE_01G017850V5,CHLRE_01G003751V5,CHLRE_01G013250V5,CHLRE_15G639503V5,CHLRE_07G356500V5,CHLRE_01G004000V5,5727190.0,5717052.0,5726379.0,5723714.0,5726125.0,5724739.0,5724074.0,5725990.0,5723315.0,5727190.0,5721900.0,5723789.0,5727640.0
CHLRE_01G007050V5,CHLRE_02G109000V5,CHLRE_02G141746V5,CHLRE_01G008950V5,CHLRE_03G191300V5,CHLRE_01G009500V5,CHLRE_17G700450V5,CHLRE_12G523400V5,CHLRE_01G003463V5,CHLRE_01G019550V5,CHLRE_01G003950V5,CHLRE_01G013600V5,CHLRE_15G638400V5,CHLRE_08G358571V5,CHLRE_01G004157V5,5726308.0,5718716.0,5724074.0,5722467.0,5716391.0,5726531.0,5716990.0,5717758.0,5724009.0,5724969.0,5721956.0,5718627.0,5722048.0
CHLRE_01G007100V5,CHLRE_02G111900V5,CHLRE_02G141106V5,CHLRE_01G009200V5,CHLRE_03G206850V5,CHLRE_01G010300V5,CHLRE_17G707137V5,CHLRE_12G543301V5,CHLRE_01G003487V5,CHLRE_01G019700V5,CHLRE_01G004000V5,CHLRE_01G013750V5,CHLRE_15G638304V5,CHLRE_08G363100V5,CHLRE_01G004350V5,5725276.0,5725243.0,5715019.0,5728816.0,5727616.0,5717701.0,5717758.0,5721078.0,5726597.0,5717050.0,5721965.0,5718851.0,5721387.0
CHLRE_01G007350V5,CHLRE_02G115400V5,CHLRE_17G731571V5,CHLRE_01G009731V5,CHLRE_03G206800V5,CHLRE_01G010400V5,CHLRE_17G716026V5,CHLRE_13G565250V5,CHLRE_01G003500V5,CHLRE_01G019750V5,CHLRE_01G004157V5,CHLRE_01G013801V5,CHLRE_15G639504V5,CHLRE_08G364751V5,CHLRE_01G004400V5,5722048.0,5727584.0,5726714.0,5720613.0,5720572.0,5717909.0,5716140.0,5722095.0,5724060.0,5724685.0,5721969.0,5718625.0,5716074.0
CHLRE_01G007774V5,CHLRE_02G117100V5,,CHLRE_01G010450V5,CHLRE_03G206750V5,CHLRE_01G010450V5,CHLRE_17G716800V5,CHLRE_13G605200V5,CHLRE_01G003516V5,CHLRE_01G019850V5,CHLRE_01G004250V5,CHLRE_01G015600V5,CHLRE_15G641000V5,CHLRE_08G368800V5,CHLRE_01G004950V5,5721387.0,5726491.0,5723239.0,5725457.0,5728161.0,5717873.0,5722051.0,5715525.0,,5721387.0,5719077.0,5721378.0,5723643.0
CHLRE_01G007850V5,CHLRE_02G117150V5,,CHLRE_01G010832V5,CHLRE_03G206700V5,CHLRE_01G011600V5,,CHLRE_14G609850V5,CHLRE_01G004350V5,CHLRE_01G020050V5,CHLRE_01G004450V5,CHLRE_01G015650V5,CHLRE_15G641250V5,CHLRE_08G380500V5,CHLRE_01G005150V5,5725027.0,5722772.0,5729319.0,5718584.0,5723614.0,5721428.0,5724955.0,5728957.0,,5723038.0,5726850.0,5717848.0,5727326.0
CHLRE_01G007901V5,CHLRE_02G117175V5,,CHLRE_01G010880V5,CHLRE_03G206650V5,CHLRE_01G012400V5,,CHLRE_14G612100V5,CHLRE_01G004450V5,CHLRE_01G020750V5,CHLRE_01G004900V5,CHLRE_01G016150V5,CHLRE_15G641850V5,CHLRE_09G395213V5,CHLRE_01G005701V5,5723966.0,5717023.0,5724050.0,5717856.0,5717306.0,5721376.0,5728957.0,5720310.0,,5716706.0,5720809.0,5728796.0,5727556.0
CHLRE_01G008300V5,CHLRE_09G388355V5,,CHLRE_01G011500V5,CHLRE_04G216826V5,CHLRE_01G012450V5,,CHLRE_16G660601V5,CHLRE_01G004500V5,CHLRE_01G021200V5,CHLRE_01G005100V5,CHLRE_01G016600V5,CHLRE_02G141746V5,CHLRE_10G428800V5,CHLRE_01G007050V5,5723010.0,5715112.0,5721976.0,5728626.0,5716652.0,5717777.0,5727898.0,5722580.0,,5723643.0,5722514.0,5719388.0,5718872.0
CHLRE_01G008891V5,CHLRE_09G388353V5,,CHLRE_01G011901V5,CHLRE_04G217850V5,CHLRE_01G013150V5,,CHLRE_16G674750V5,CHLRE_01G004651V5,CHLRE_01G021400V5,CHLRE_01G005651V5,CHLRE_01G017050V5,CHLRE_02G141826V5,CHLRE_10G439700V5,CHLRE_01G007100V5,5724669.0,5718821.0,5717855.0,5720467.0,5726198.0,5723558.0,5723945.0,5717794.0,,5727326.0,5716698.0,5720643.0,5718851.0
CHLRE_01G009101V5,CHLRE_09G389060V5,,CHLRE_01G012400V5,CHLRE_04G220950V5,CHLRE_01G013200V5,,CHLRE_17G697950V5,CHLRE_01G004750V5,CHLRE_01G021450V5,CHLRE_01G006150V5,CHLRE_01G018500V5,CHLRE_02G142226V5,CHLRE_11G483100V5,CHLRE_01G007251V5,5723244.0,5727162.0,5726625.0,5727092.0,5721323.0,5728678.0,5725242.0,5720043.0,,5723244.0,5716664.0,5724761.0,5720727.0
CHLRE_01G009200V5,CHLRE_03G145187V5,,CHLRE_01G012450V5,CHLRE_04G223050V5,CHLRE_01G013450V5,,CHLRE_17G698550V5,CHLRE_01G004950V5,CHLRE_01G021600V5,CHLRE_01G007050V5,CHLRE_01G018700V5,CHLRE_15G643500V5,CHLRE_12G518700V5,CHLRE_01G007350V5,5716386.0,5717009.0,5717627.0,5720051.0,5722545.0,5722535.0,5725919.0,5727221.0,,5716386.0,5721713.0,5719145.0,5723014.0
CHLRE_01G009500V5,CHLRE_03G146507V5,,CHLRE_01G013600V5,CHLRE_04G223100V5,CHLRE_01G013700V5,,CHLRE_17G731571V5,CHLRE_01G005813V5,CHLRE_01G021750V5,CHLRE_01G007100V5,CHLRE_01G019000V5,CHLRE_15G643503V5,CHLRE_12G523400V5,CHLRE_01G007400V5,5725664.0,5716211.0,5716220.0,5718998.0,5725731.0,5723038.0,5724009.0,5720753.0,,5725664.0,5720271.0,5722467.0,5721413.0
CHLRE_01G010500V5,CHLRE_03G146527V5,,CHLRE_01G014850V5,CHLRE_05G232900V5,CHLRE_01G013850V5,,,CHLRE_01G006150V5,CHLRE_01G022100V5,CHLRE_01G007150V5,CHLRE_01G019250V5,CHLRE_02G141106V5,CHLRE_12G555700V5,CHLRE_01G007450V5,5727556.0,5720443.0,5723845.0,5719676.0,5725243.0,5725041.0,5726968.0,5724009.0,,5727556.0,5726845.0,5726239.0,5728796.0
CHLRE_01G010650V5,CHLRE_03G152250V5,,CHLRE_01G015400V5,CHLRE_06G261750V5,CHLRE_01G014050V5,,,CHLRE_01G007150V5,CHLRE_01G022350V5,CHLRE_01G007450V5,CHLRE_01G019850V5,CHLRE_17G734548V5,CHLRE_12G547351V5,CHLRE_01G007500V5,5727896.0,5716548.0,5715137.0,5725295.0,5718476.0,5723643.0,5721269.0,5722214.0,,5715612.0,5717636.0,5716801.0,5728210.0
CHLRE_01G010832V5,CHLRE_03G172800V5,,CHLRE_01G015600V5,CHLRE_06G278098V5,CHLRE_01G014500V5,,,CHLRE_01G007500V5,CHLRE_01G023050V5,CHLRE_01G007500V5,CHLRE_01G020305V5,CHLRE_17G734400V5,CHLRE_12G543550V5,CHLRE_01G007600V5,5728881.0,5722149.0,5723464.0,5728903.0,5727734.0,5721441.0,5718069.0,,,5728982.0,5721118.0,5726413.0,5728321.0
