CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G018150V5,CHLRE_01G068377V5,CHLRE_03G153500V5,CHLRE_01G027100V5,CHLRE_01G026750V5,CHLRE_01G014450V5,CHLRE_03G144344V5,CHLRE_04G224200V5,CHLRE_07G327800V5,CHLRE_01G017600V5,CHLRE_02G083354V5,CHLRE_01G016350V5,CHLRE_01G004900V5
CHLRE_01G018550V5,CHLRE_01G071662V5,CHLRE_03G153550V5,CHLRE_01G027150V5,CHLRE_01G028101V5,CHLRE_01G014650V5,CHLRE_03G145307V5,CHLRE_04G224800V5,CHLRE_07G338100V5,CHLRE_01G018350V5,CHLRE_02G083500V5,CHLRE_01G016400V5,CHLRE_01G004950V5
CHLRE_01G019051V5,CHLRE_02G073600V5,CHLRE_03G154200V5,CHLRE_01G027200V5,CHLRE_01G028200V5,CHLRE_01G015000V5,CHLRE_03G148201V5,CHLRE_04G228000V5,CHLRE_07G351800V5,CHLRE_01G018450V5,CHLRE_02G084250V5,CHLRE_01G016450V5,CHLRE_01G005001V5
CHLRE_01G019450V5,CHLRE_02G074850V5,CHLRE_03G162366V5,CHLRE_01G027250V5,CHLRE_01G029100V5,CHLRE_01G015850V5,CHLRE_03G152600V5,CHLRE_04G228925V5,CHLRE_07G355650V5,CHLRE_01G018550V5,CHLRE_02G085100V5,CHLRE_01G016528V5,CHLRE_01G005050V5
CHLRE_01G019550V5,CHLRE_02G075050V5,CHLRE_03G162701V5,CHLRE_01G027300V5,CHLRE_01G029200V5,CHLRE_01G015950V5,CHLRE_03G159254V5,CHLRE_04G233003V5,CHLRE_07G357650V5,CHLRE_01G019250V5,CHLRE_02G086076V5,CHLRE_01G016556V5,CHLRE_01G005200V5
CHLRE_01G019700V5,CHLRE_02G075100V5,CHLRE_03G170600V5,CHLRE_01G027400V5,CHLRE_01G029250V5,CHLRE_01G016500V5,CHLRE_03G162200V5,CHLRE_04G233102V5,CHLRE_08G358580V5,CHLRE_01G020100V5,CHLRE_02G086100V5,CHLRE_01G016570V5,CHLRE_01G005400V5
CHLRE_01G020350V5,CHLRE_02G075800V5,CHLRE_03G170625V5,CHLRE_01G028200V5,CHLRE_01G030150V5,CHLRE_01G016556V5,CHLRE_03G164650V5,CHLRE_05G243150V5,CHLRE_08G360050V5,CHLRE_01G020305V5,CHLRE_02G089500V5,CHLRE_01G016800V5,CHLRE_01G005500V5
CHLRE_01G021500V5,CHLRE_02G076550V5,CHLRE_03G171700V5,CHLRE_01G028350V5,CHLRE_01G030700V5,CHLRE_01G017400V5,CHLRE_03G166950V5,CHLRE_05G243850V5,CHLRE_08G362100V5,CHLRE_01G020500V5,CHLRE_02G093750V5,CHLRE_01G016850V5,CHLRE_01G005701V5
CHLRE_01G021950V5,CHLRE_02G076600V5,CHLRE_03G172322V5,CHLRE_01G029150V5,CHLRE_01G031250V5,CHLRE_01G017500V5,CHLRE_03G168250V5,CHLRE_05G246400V5,CHLRE_08G365351V5,CHLRE_01G021350V5,CHLRE_02G093800V5,CHLRE_01G016950V5,CHLRE_01G005750V5
CHLRE_01G023500V5,CHLRE_02G078150V5,CHLRE_03G175851V5,CHLRE_01G030600V5,CHLRE_01G031650V5,CHLRE_01G017900V5,CHLRE_03G169800V5,CHLRE_05G234645V5,CHLRE_08G365825V5,CHLRE_01G021500V5,CHLRE_02G094700V5,CHLRE_01G017050V5,CHLRE_01G005813V5
