CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
ChCC-v11018202m.g,ChCC-v11013505m.g,,ChCC-v11001386m.g,,ChCC-v11016380m.g,,ChCC-v11011558m.g,ChCC-v11000323m.g,ChCC-v11015382m.g,ChCC-v11029348m.g,ChCC-v11036180m.g,,,ChCC-v11013188m.g,ChCC-v11014629m.g,ChCC-v11009587m.g,ChCC-v11008460m.g,ChCC-v11035329m.g,ChCC-v11009027m.g,ChCC-v11032475m.g,ChCC-v11003589m.g,ChCC-v11019593m.g,,ChCC-v11025683m.g,ChCC-v11023700m.g,ChCC-v11025047m.g,ChCC-v11027718m.g
ChCC-v11024538m.g,ChCC-v11016444m.g,,ChCC-v11014169m.g,,ChCC-v11024944m.g,,ChCC-v11016557m.g,ChCC-v11006259m.g,ChCC-v11022789m.g,ChCC-v11031017m.g,ChCC-v11014169m.g,,,ChCC-v11003643m.g,ChCC-v11005309m.g,ChCC-v11005175m.g,ChCC-v11015705m.g,ChCC-v11031664m.g,ChCC-v11007353m.g,ChCC-v11012455m.g,ChCC-v11033847m.g,ChCC-v11023002m.g,,ChCC-v11003475m.g,ChCC-v11023518m.g,ChCC-v11016393m.g,ChCC-v11023013m.g
ChCC-v11024790m.g,ChCC-v11036632m.g,,ChCC-v11033002m.g,,ChCC-v11012243m.g,,ChCC-v11000772m.g,ChCC-v11011321m.g,ChCC-v11003589m.g,ChCC-v11022799m.g,ChCC-v11021489m.g,,,ChCC-v11032792m.g,ChCC-v11006818m.g,ChCC-v11001667m.g,ChCC-v11008845m.g,ChCC-v11009094m.g,ChCC-v11036072m.g,ChCC-v11034403m.g,ChCC-v11014803m.g,ChCC-v11034052m.g,,ChCC-v11006491m.g,ex.Cre04.g216826.t1.2.g,ChCC-v11001298m.g,ChCC-v11020820m.g
ChCC-v11037033m.g,ChCC-v11030126m.g,,ChCC-v11010202m.g,,ChCC-v11035677m.g,,ChCC-v11024650m.g,ChCC-v11003917m.g,ChCC-v11022163m.g,ChCC-v11028209m.g,ChCC-v11010202m.g,,,ChCC-v11029366m.g,ChCC-v11023497m.g,ChCC-v11002577m.g,ChCC-v11009276m.g,ChCC-v11013627m.g,ChCC-v11035395m.g,ChCC-v11025626m.g,ChCC-v11017696m.g,ChCC-v11010217m.g,,ChCC-v11025418m.g,ChCC-v11025634m.g,ChCC-v11011056m.g,ChCC-v11029745m.g
ChCC-v11016147m.g,ChCC-v11003589m.g,,ChCC-v11007452m.g,,ChCC-v11019701m.g,,ChCC-v11023392m.g,ChCC-v11028850m.g,ChCC-v11028595m.g,ChCC-v11021493m.g,ChCC-v11000940m.g,,,ChCC-v11020168m.g,ChCC-v11029747m.g,ChCC-v11021144m.g,ChCC-v11022197m.g,ChCC-v11013041m.g,ChCC-v11021303m.g,ChCC-v11025666m.g,ChCC-v11018202m.g,,,ChCC-v11009770m.g,ChCC-v11017792m.g,ChCC-v11003492m.g,ChCC-v11001015m.g
ChCC-v11007708m.g,ChCC-v11015995m.g,,ChCC-v11032029m.g,,ChCC-v11020367m.g,,ChCC-v11037244m.g,ChCC-v11010927m.g,ChCC-v11007312m.g,ChCC-v11000425m.g,ChCC-v11032405m.g,,,ChCC-v11002519m.g,ChCC-v11005644m.g,ChCC-v11007452m.g,ChCC-v11007517m.g,ChCC-v11001326m.g,ChCC-v11003837m.g,ChCC-v11027574m.g,ChCC-v11035453m.g,,,ChCC-v11016169m.g,ChCC-v11011602m.g,ChCC-v11006044m.g,ChCC-v11007628m.g
ex.Cre06.g305450.t1.1.g,ChCC-v11019690m.g,,ChCC-v11006004m.g,,ChCC-v11027169m.g,,ChCC-v11021936m.g,ChCC-v11032717m.g,ChCC-v11030304m.g,ChCC-v11030318m.g,ChCC-v11004437m.g,,,ChCC-v11018031m.g,ChCC-v11014767m.g,ChCC-v11025672m.g,ChCC-v11014049m.g,ChCC-v11008928m.g,ChCC-v11011491m.g,ChCC-v11010249m.g,ChCC-v11025541m.g,,,ChCC-v11036628m.g,ChCC-v11008840m.g,ChCC-v11033127m.g,ChCC-v11020818m.g
ChCC-v11021865m.g,ChCC-v11004183m.g,,ChCC-v11024944m.g,,ChCC-v11007801m.g,,ChCC-v11011334m.g,ChCC-v11018126m.g,ChCC-v11013076m.g,ChCC-v11014169m.g,ChCC-v11003837m.g,,,ChCC-v11003589m.g,ChCC-v11028595m.g,ChCC-v11011230m.g,ChCC-v11036901m.g,ChCC-v11029797m.g,ChCC-v11029745m.g,ChCC-v11030082m.g,,,,ChCC-v11013188m.g,ChCC-v11004013m.g,ChCC-v11025666m.g,ChCC-v11009078m.g
ChCC-v11020885m.g,,,ChCC-v11006312m.g,,ChCC-v11012064m.g,,ChCC-v11030953m.g,ChCC-v11005992m.g,ChCC-v11035864m.g,ChCC-v11036625m.g,ChCC-v11007635m.g,,,ChCC-v11019258m.g,ChCC-v11034443m.g,ChCC-v11029745m.g,ex.Cre13.g566600.t1.1.g,ChCC-v11005573m.g,ChCC-v11003474m.g,ChCC-v11034116m.g,,,,ChCC-v11034116m.g,ChCC-v11029028m.g,ChCC-v11015227m.g,ChCC-v11000112m.g
ChCC-v11035973m.g,,,ChCC-v11024628m.g,,ChCC-v11016444m.g,,ChCC-v11035034m.g,ChCC-v11032687m.g,ChCC-v11018408m.g,ChCC-v11007658m.g,ChCC-v11021115m.g,,,ChCC-v11012463m.g,ChCC-v11018425m.g,ChCC-v11023002m.g,ChCC-v11003195m.g,ChCC-v11033046m.g,ChCC-v11004004m.g,ChCC-v11002800m.g,,,,ChCC-v11021661m.g,ChCC-v11029096m.g,ChCC-v11023411m.g,ChCC-v11007006m.g
ChCC-v11021011m.g,,,ChCC-v11023540m.g,,ChCC-v11014046m.g,,ChCC-v11032744m.g,ChCC-v11035973m.g,ChCC-v11020984m.g,ChCC-v11028015m.g,ChCC-v11021804m.g,,,ChCC-v11035973m.g,ChCC-v11020610m.g,ChCC-v11024600m.g,ChCC-v11004862m.g,ChCC-v11031821m.g,ChCC-v11023056m.g,ChCC-v11009094m.g,,,,ChCC-v11006492m.g,ChCC-v11004172m.g,ChCC-v11034255m.g,ChCC-v11007700m.g
ChCC-v11005992m.g,,,ChCC-v11029348m.g,,ChCC-v11008410m.g,,ChCC-v11003955m.g,ChCC-v11019364m.g,ChCC-v11002185m.g,ChCC-v11031447m.g,ChCC-v11012723m.g,,,ChCC-v11020885m.g,ChCC-v11029800m.g,ChCC-v11026526m.g,ChCC-v11012107m.g,ChCC-v11008387m.g,ChCC-v11015174m.g,ChCC-v11020881m.g,,,,ChCC-v11029014m.g,ChCC-v11023984m.g,ChCC-v11001369m.g,ChCC-v11010281m.g
ChCC-v11024832m.g,,,ChCC-v11009056m.g,,ChCC-v11030075m.g,,ChCC-v11009500m.g,ChCC-v11005970m.g,ChCC-v11018031m.g,ChCC-v11018093m.g,ChCC-v11001187m.g,,,ChCC-v11019713m.g,ChCC-v11032271m.g,ChCC-v11002479m.g,ChCC-v11029745m.g,ChCC-v11014445m.g,ChCC-v11009278m.g,ChCC-v11035395m.g,,,,ChCC-v11020850m.g,ChCC-v11007353m.g,ChCC-v11000908m.g,ChCC-v11013041m.g
ChCC-v11015764m.g,,,ChCC-v11010847m.g,,ChCC-v11004399m.g,,ChCC-v11026196m.g,ChCC-v11032672m.g,ChCC-v11025939m.g,ChCC-v11023035m.g,ChCC-v11008310m.g,,,ChCC-v11021666m.g,ChCC-v11005175m.g,ChCC-v11015893m.g,ChCC-v11004387m.g,ChCC-v11020820m.g,ChCC-v11029016m.g,ChCC-v11025837m.g,,,,ChCC-v11010918m.g,ChCC-v11026599m.g,ChCC-v11016380m.g,ChCC-v11027112m.g
